2352	600	200	0
2389	500	200	0
2198	700	0	0
2212	800	0	0
223	700	0	1
266	800	100	0
385	500	300	0
441	700	0	1
465	900	0	1
545	900	100	1
1307	700	100	0
1588	900	0	0
1724	600	0	1
1746	900	200	0
1806	900	0	0
1831	500	0	0
1911	500	100	0
1992	500	100	0
1993	600	0	0
2017	800	300	1
2061	700	300	1
2120	700	300	1
2127	800	300	1
626	900	100	0
681	800	100	0
712	800	300	0
833	500	0	0
847	600	0	0
867	900	100	0
940	800	100	0
971	800	0	1
1035	800	100	0
586	500	100	0
627	600	200	0
664	600	100	1
701	500	100	0
828	500	200	0
873	600	300	1
889	600	100	0
958	500	0	0
1085	600	0	0
1098	700	0	0
1185	700	100	0
1479	700	200	0
1499	500	0	0
2323	700	0	0
112	800	100	0
114	500	200	0
133	900	0	0
362	600	0	0
407	600	300	0
408	500	0	0
464	700	100	0
517	800	0	0
519	500	200	0
1723	900	200	0
1727	800	0	1
1752	600	200	1
1773	700	0	1
1829	900	100	0
1992	800	200	0
2029	800	100	0
2066	700	100	0
2072	800	0	1
1729	500	100	1
1841	800	100	0
1844	800	100	0
2005	700	300	1
2007	800	200	0
2361	900	0	0
642	600	200	0
659	800	100	0
817	600	200	0
827	800	300	0
860	900	300	0
947	800	0	0
996	700	0	1
1059	700	100	0
1193	500	0	0
1341	600	100	1
1522	500	0	0
1569	700	0	0
1573	700	100	0
1577	900	100	0
1615	900	200	0
66	600	300	0
156	900	0	0
204	500	0	1
208	500	100	0
212	700	100	0
363	900	100	0
396	800	0	0
443	500	300	0
476	600	100	0
479	600	100	0
505	800	0	0
117	800	100	0
122	800	0	0
215	800	100	0
257	600	100	0
323	500	0	0
389	600	200	0
425	700	100	0
550	500	0	0
666	500	200	0
675	600	100	1
713	900	300	0
945	600	300	1
1668	700	200	0
1688	600	0	0
1688	700	0	0
1754	800	200	0
1790	900	100	0
2031	700	200	0
2040	800	100	0
1117	500	0	0
1155	500	100	0
1194	900	0	0
1209	700	200	0
1221	500	100	0
1280	800	0	0
1362	500	100	1
1362	600	0	0
1622	800	100	1
1433	600	0	0
1494	500	100	1
1606	600	0	0
1733	600	100	1
1837	700	100	0
1927	500	100	1
2014	900	0	0
2138	500	0	0
2150	700	300	1
68	400	0	0
128	900	100	0
472	500	100	0
542	700	100	1
554	600	200	0
561	900	100	1
621	900	200	1
628	800	0	0
649	700	0	0
700	800	100	0
772	900	0	1
813	900	300	0
824	900	0	0
844	700	0	0
870	700	0	0
953	800	100	1
966	600	100	1
2190	500	0	0
2209	900	0	0
2331	800	100	0
90	500	100	0
253	800	100	0
314	600	0	0
348	500	100	0
453	500	0	0
535	700	200	1
1163	500	100	0
1171	600	0	0
1195	500	0	0
1298	900	0	0
1455	700	100	0
1546	600	100	1
1673	600	100	0
1679	800	0	0
1713	700	100	0
1818	700	0	0
2071	700	0	1
2087	800	300	1
2108	700	300	1
2113	800	100	0
2135	500	200	0
2176	600	0	0
555	600	100	0
706	500	0	0
748	600	100	0
769	900	200	0
811	400	0	0
908	500	200	1
1058	700	100	0
643	900	300	0
747	500	200	0
812	400	0	0
842	700	200	0
1072	600	100	1
1090	500	300	0
1230	700	0	0
1246	500	100	0
1375	500	0	0
1403	900	100	0
1418	900	100	0
1442	800	100	0
1481	800	0	1
1543	600	0	0
1582	600	0	1
1593	900	100	0
1604	800	100	0
38	700	100	0
53	700	100	0
100	600	300	0
116	600	0	0
228	700	100	0
239	600	100	0
412	500	0	0
416	900	0	0
1777	700	0	1
1782	500	0	1
2177	600	0	0
1744	800	0	1
1837	500	0	0
1853	900	100	0
1981	800	0	0
2085	700	0	1
2194	600	100	0
2231	700	100	0
2318	900	100	0
553	900	200	1
616	600	0	0
720	500	0	0
720	900	300	0
866	500	100	0
926	900	300	0
953	700	100	1
1041	600	100	1
1225	800	100	0
1246	700	200	1
1289	700	200	1
1314	600	0	0
1317	800	200	1
1322	500	0	0
1384	700	0	0
1578	700	100	0
1610	800	0	0
213	500	100	0
245	600	0	1
317	500	300	0
379	600	0	0
471	900	0	1
488	700	100	0
217	500	100	0
315	700	100	0
317	700	100	0
446	600	300	0
460	800	100	0
469	600	100	0
472	500	300	0
541	700	200	1
577	900	100	1
691	700	0	0
857	700	0	0
872	700	300	0
873	600	0	0
875	800	0	0
907	900	0	0
945	800	0	0
1680	900	100	1
1682	900	100	1
1775	600	0	1
1785	800	200	0
1834	800	100	0
1943	500	100	1
2056	900	0	0
2126	600	200	0
2222	900	0	0
1150	800	200	0
1208	600	100	0
1212	500	300	0
1223	500	0	0
1479	900	200	0
1555	500	200	0
1582	700	100	0
1104	600	0	0
1173	500	0	0
1255	700	0	0
1324	800	0	0
1330	800	0	0
1415	900	100	0
1542	700	200	0
1631	800	0	0
1635	600	0	0
1655	800	200	0
1861	900	100	0
2159	800	100	0
50	700	100	0
177	500	200	0
266	600	0	1
290	600	200	0
416	500	300	0
496	700	100	0
717	800	200	0
794	600	100	0
824	500	0	0
835	700	300	0
876	500	100	0
891	500	0	0
933	800	300	0
959	700	100	1
988	500	200	0
1020	600	100	1
2189	700	0	0
2324	900	100	0
2353	700	200	1
2363	600	100	1
2385	800	100	0
2385	900	200	1
2208	800	0	0
2379	800	200	1
67	700	100	0
69	500	200	0
178	800	100	0
244	700	100	0
283	700	0	1
315	500	200	0
370	500	100	0
388	700	0	0
1264	500	100	0
1267	900	0	0
1364	800	100	0
1432	900	100	0
1609	900	100	1
1617	600	0	0
1648	900	0	0
1680	700	200	0
1735	700	100	0
1753	900	0	1
1886	600	100	0
1985	700	0	0
2000	900	200	0
2139	800	300	1
620	500	0	0
635	700	200	1
661	800	100	0
806	800	200	0
814	900	300	0
843	600	0	0
844	600	200	0
851	800	0	0
1078	700	100	0
1092	600	0	0
570	700	100	1
784	800	200	0
800	600	200	0
804	700	200	0
909	800	0	0
1080	700	0	0
1155	900	200	0
1187	500	100	0
1191	900	0	0
1233	600	300	0
1266	600	0	0
1442	600	100	0
1481	700	100	1
1497	800	100	1
1508	900	200	0
1556	800	0	0
1560	800	100	0
1567	800	200	0
1610	900	0	0
77	400	100	0
116	500	100	0
132	600	100	0
191	600	0	1
195	600	100	0
202	600	200	0
245	700	0	1
502	500	100	0
506	500	0	0
1733	600	0	1
1825	600	100	0
1867	700	100	0
1871	700	0	0
1678	800	0	0
1828	900	100	0
1959	500	100	1
2071	900	200	0
2099	600	0	0
2310	700	0	0
556	600	0	0
558	500	0	0
570	800	100	1
585	800	200	1
593	900	100	1
706	700	200	0
734	400	0	0
797	800	100	0
827	800	100	1
846	500	200	0
931	500	300	1
945	500	0	0
1065	700	0	0
1100	500	300	0
1257	500	100	0
1378	500	200	0
1510	600	0	0
1528	500	100	1
1601	900	0	0
162	900	100	0
220	800	100	0
236	700	0	1
313	600	0	0
410	500	300	0
463	700	100	0
38	900	100	0
88	400	0	0
200	600	200	0
218	600	0	1
254	500	100	0
349	700	0	0
374	500	200	0
382	500	300	0
407	900	100	0
439	700	0	1
510	800	100	0
527	900	0	1
587	500	0	0
622	800	300	0
860	700	300	0
1714	900	0	1
1739	700	200	0
1741	600	200	1
1773	500	100	1
1804	900	0	0
1893	500	0	0
2352	500	300	0
1195	500	100	0
1292	600	100	0
1397	800	0	0
1404	500	100	0
1407	800	100	0
1440	800	100	0
1453	600	0	0
1565	800	200	0
1583	800	0	0
1619	700	100	1
1109	700	100	0
1124	800	100	1
1239	700	100	0
1248	700	200	1
1305	500	0	0
1307	600	0	0
1486	600	0	0
1515	700	0	1
1616	600	100	0
1625	900	100	1
1645	600	100	0
1984	700	300	1
2026	700	200	0
2026	900	200	0
2068	600	0	0
2118	700	100	0
2132	700	0	1
2141	900	0	1
150	500	0	0
451	800	100	0
564	900	200	1
661	500	200	0
661	700	200	1
702	900	300	0
703	400	0	0
753	500	100	0
767	500	0	0
776	700	0	1
780	800	200	0
801	600	200	0
828	500	0	0
838	600	200	0
1057	600	0	0
2193	700	0	0
84	500	200	0
404	600	100	0
490	800	0	0
520	700	100	0
546	700	0	1
1117	500	300	0
1136	500	0	0
1218	600	0	0
1769	800	100	0
1803	600	200	0
1885	900	100	0
1980	700	0	0
2003	600	100	0
2009	700	100	0
2054	500	100	0
2055	800	100	0
2074	600	200	0
584	900	200	1
615	500	0	0
644	500	100	1
655	800	300	0
688	900	100	0
690	600	100	1
694	800	300	0
927	900	100	0
1055	700	0	0
609	900	100	1
619	900	300	0
639	700	300	0
691	500	200	0
701	700	200	0
758	600	100	0
779	800	0	1
931	900	100	0
982	700	0	1
1118	800	0	0
1273	700	0	0
1294	800	100	0
1298	700	200	1
1332	900	100	0
1373	700	100	0
1532	600	0	0
2347	900	0	0
2355	500	300	0
283	500	0	1
424	900	0	1
1648	700	0	0
1752	600	100	1
1774	600	200	1
1790	500	0	1
1799	700	200	0
1975	500	100	1
2004	900	300	1
2037	600	100	0
2056	700	200	0
2066	900	200	0
2116	600	200	0
2123	800	100	0
1746	800	100	0
1806	500	100	0
1883	600	100	0
1893	900	100	0
1932	500	100	1
2130	700	100	0
2354	500	0	0
566	900	100	1
655	800	100	0
765	500	100	0
887	600	0	0
988	900	0	1
1145	900	0	0
1240	500	0	0
1247	900	0	0
1294	500	300	0
1303	800	200	1
1317	500	300	0
1478	500	200	0
1521	900	200	0
1535	800	0	1
1564	600	100	0
170	600	0	0
210	800	0	1
325	800	0	0
381	600	100	0
440	900	100	0
528	700	100	1
91	600	200	0
276	700	100	0
313	800	0	0
382	600	100	0
427	900	100	0
472	700	0	1
497	600	0	0
662	600	200	0
662	800	100	0
677	900	300	0
743	700	100	0
755	800	0	1
816	700	200	0
834	700	300	0
884	800	100	0
954	900	100	1
986	500	200	0
1036	500	0	0
